1,103,47360
1,109,47616
1,115,85760
1,115,248832
1,213,55552
1,245,244992
1,254,49920
1,267,69888
1,268,122368
1,274,58624
1,404,54528
1,419,52224
1,431,349184
1,443,155648
1,451,50688
1,487,75008
1,518,147712
1,520,50944
1,521,79104
1,526,248576
1,534,61696
1,544,48384
1,549,273920
1,569,217856
1,574,113664
1,588,47360
1,609,110848
1,696,124672
1,702,325120
1,708,47104
1,739,178688
1,743,128000
1,757,66304
1,821,110336
1,826,48640
1,851,61440
1,878,101376
1,884,122112
1,895,48896
1,901,291840
1,959,72448
1,975,300288
1,978,298240
1,983,78848
1,1002,212992
1,1005,70656
1,1008,204544
1,1014,188928
1,1090,70656
1,1136,248576
1,1171,149504
1,1181,173568
1,1238,101888
1,1300,48896
1,1308,199936
1,1345,182272
1,1368,126720
1,1408,51968
1,1438,348416
1,1440,231424
1,1513,342016
1,1551,216576
1,1576,340224
1,1594,111360
1,1599,92160
1,1607,187648
1,1665,218880
1,1682,82432
1,1683,291328
1,1700,58112
1,1708,179200
1,1747,143872
1,1752,81920
1,1764,238592
1,1773,46848
1,1777,286720
1,1816,75008
1,1865,52480
1,1892,100608
1,1906,48384
1,1915,62464
1,1972,308224
1,2029,241408
1,2041,75776
1,2046,62720
1,2054,152576
1,2082,47104
1,2125,135424
1,2139,100608
1,2141,71936
1,2153,197888
1,2179,47872
1,2217,67840
1,2225,97024
1,2232,47360
1,2260,50688
1,2262,88576
1,2267,89600
1,2272,161792
1,2360,47104
